Lea State,LEA,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,State Charter Schools- Georgia Cyber Academy,1300232,2015,Total enrollment,,46.00,253.00,31.00,937.00,4696.00,7198.00,757.00,13918.00,1748.00,415.00,25.00
GA,Commission Charter Schools- Ivy Preparatory Academy School,1300215,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Commission Charter Schools- Ivy Preparatory Academy School,1300215,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Commission Charter Schools- Ivy Preparatory Academy School,1300215,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Commission Charter Schools- Ivy Preparatory Academy School,1300215,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Commission Charter Schools- Ivy Preparatory Academy School,1300215,2015,Total enrollment,,2.00,8.00,0.00,35.00,221.00,0.00,5.00,271.00,19.00,20.00,20.00
GA,Seminole County,1304530,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Seminole County,1304530,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Seminole County,1304530,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Seminole County,1304530,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Seminole County,1304530,2015,Total enrollment,,0.00,17.00,0.00,38.00,677.00,785.00,53.00,1570.00,112.00,38.00,18.00
GA,Thomasville City Schools,1304950,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Thomasville City Schools,1304950,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Thomasville City Schools,1304950,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Thomasville City Schools,1304950,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Thomasville City Schools,1304950,2015,Total enrollment,,10.00,27.00,6.00,54.00,1667.00,1113.00,38.00,2915.00,268.00,49.00,13.00
GA,Franklin County,1302250,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Franklin County,1302250,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Franklin County,1302250,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Franklin County,1302250,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Franklin County,1302250,2015,Total enrollment,,12.00,34.00,0.00,291.00,372.00,2811.00,120.00,3640.00,489.00,159.00,132.00
GA,Crawford County,1301530,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Crawford County,1301530,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Crawford County,1301530,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Crawford County,1301530,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Crawford County,1301530,2015,Total enrollment,,14.00,10.00,0.00,33.00,387.00,1236.00,57.00,1737.00,297.00,0.00,10.00
GA,Commission Charter Schools- Pataula Charter Academy,1300218,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Commission Charter Schools- Pataula Charter Academy,1300218,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Commission Charter Schools- Pataula Charter Academy,1300218,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Commission Charter Schools- Pataula Charter Academy,1300218,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Commission Charter Schools- Pataula Charter Academy,1300218,2015,Total enrollment,,0.00,10.00,0.00,25.00,76.00,400.00,4.00,515.00,59.00,10.00,10.00
